Event Number,Longest Track Length (cm),2nd Longest Track Length (cm),3rd Longest Track Length (cm)
656,889.09,0,0
657,912.08,0,0
658,934.36,0,0
659,681.86,0,0
660,96.99,0,0
661,131.17,0,0
662,648.79,0,0
663,509.54,0,0
664,578.08,0,0
665,700.41,0,0
666,382.26,0,0
667,1074.89,0,0
668,317.87,0,0
669,488.81,0,0
670,630.81,0,0
671,180.77,147.02,103.8
672,64.37,0,0
673,409.26,68.6,0
674,549.22,76.43,0
675,308.87,0,0
676,350.89,318.76,312.63
677,73.77,63.39,0
678,196.14,131.51,75.8
679,549.79,0,0
680,321.15,314.01,298.97
681,147.34,0,0
682,334.92,250.26,179.86
683,226.53,168.71,114.56
684,71.72,0,0
685,122.85,0,0
686,198.5,141.18,133.59
687,242.37,0,0
688,522.1,113.53,101.23
689,157.3,128.89,0
690,1119.71,0,0
691,147.53,0,0
692,238.56,0,0
693,327.89,323.48,289.14
694,43.72,0,0
695,640.78,0,0
696,155.43,0,0
697,239.38,137.79,0
698,667.59,0,0
699,123.06,0,0
700,183.09,0,0
701,340.87,0,0
702,558.06,0,0
703,411.9,0,0
704,99.68,0,0
705,673.78,167.91,0
706,449.24,0,0
707,363.69,0,0
708,474.61,98.72,0
709,141.86,106.5,0
710,242.45,0,0
711,298.74,136.39,134.87
712,116.1,99.3,0
713,536.86,0,0
714,933.51,0,0
715,335.24,0,0
716,376.67,0,0
717,1415.61,99.54,0
718,264.49,201.72,0
719,185.43,0,0
720,134,0,0
721,285.33,79.26,0
722,532.84,0,0
723,165.26,0,0
724,116.88,0,0
725,784.27,0,0
726,350.06,0,0
727,125.84,0,0
728,105.22,0,0
729,785.74,0,0
730,206.87,0,0
731,831.4,0,0
732,209.81,91.16,0
733,337.29,0,0
734,84.74,0,0
735,52.54,0,0
736,155.31,0,0
737,496.63,0,0
738,653.17,0,0
739,148.05,0,0
740,70.02,0,0
741,201.37,160.29,104.84
742,368.15,0,0
743,811.01,0,0
744,243.83,243.07,175.16
745,638.13,0,0
746,428.41,0,0
747,90.92,0,0
748,66.78,46.41,0
