Longest Track Length (cm),2nd Longest Track Length (cm),3rd Longest Track Length (cm),Event Type
208.38,0.0,0.0,0
235.48,0.0,0.0,0
405.18,118.97,0.0,1
197.66,0.0,0.0,0
66.32,0.0,0.0,0
117.85,0.0,0.0,0
465.43,0.0,0.0,1
307.25,263.65,252.32,0
572.82,131.57,0.0,1
671.99,97.23,0.0,1
682.42,0.0,0.0,1
552.7,148.65,0.0,1
632.13,0.0,0.0,1
301.29,181.16,96.62,1
108.74,0.0,0.0,0
1342.53,0.0,0.0,1
850.85,0.0,0.0,1
961.44,76.04,0.0,1
148.33,0.0,0.0,0
458.75,0.0,0.0,1
151.42,0.0,0.0,0
492.12,215.59,0.0,1
545.9,75.49,0.0,1
839.67,193.59,112.33,1
159.17,0.0,0.0,0
203.04,0.0,0.0,0
384.64,223.4,0.0,0
141.5,0.0,0.0,0
153.73,109.21,0.0,0
266.98,0.0,0.0,1
646.93,109.41,0.0,1
455.88,102.92,0.0,1
123.41,123.24,0.0,0
712.29,162.69,0.0,1
476.77,0.0,0.0,1
295.03,237.93,0.0,1
217.17,0.0,0.0,0
80.77,0.0,0.0,0
170.76,0.0,0.0,0
724.12,0.0,0.0,1
228.91,83.07,0.0,0
206.72,0.0,0.0,0
100.15,0.0,0.0,0
93.89,0.0,0.0,0
653.84,0.0,0.0,1
158.24,0.0,0.0,0
203.39,0.0,0.0,0
426.46,0.0,0.0,1
305.44,0.0,0.0,1
404.24,244.95,0.0,1
258.95,0.0,0.0,0
110.65,0.0,0.0,0
236.83,200.08,98.26,1
137.88,0.0,0.0,0
778.07,207.55,115.49,1
192.86,83.5,0.0,0
699.68,0.0,0.0,1
126.59,0.0,0.0,1
229.17,170.38,0.0,0
100.51,0.0,0.0,0
509.42,157.61,115.04,1
688.09,285.99,0.0,1
117.98,0.0,0.0,0
612.27,290.68,0.0,1
311.13,153.72,0.0,1
146.79,0.0,0.0,0
724.63,0.0,0.0,1
418.43,0.0,0.0,1
588.48,450.62,231.04,1
104.42,0.0,0.0,1
1056.78,142.68,0.0,1
185.18,83.98,0.0,0
96.22,0.0,0.0,0
1224.87,0.0,0.0,1
314.91,0.0,0.0,1
114.71,0.0,0.0,0
41.8,0.0,0.0,0
391.82,237.28,0.0,0
84.71,0.0,0.0,0
221.4,0.0,0.0,0
982.29,154.41,0.0,1
137.07,0.0,0.0,0
524.13,284.73,257.2,1
673.92,269.27,176.68,1
397.27,0.0,0.0,1
493.38,169.57,0.0,1
234.72,0.0,0.0,0
145.82,0.0,0.0,0
128.91,0.0,0.0,0
736.09,0.0,0.0,1
87.5,0.0,0.0,0
174.97,0.0,0.0,0
529.56,0.0,0.0,1
186.8,0.0,0.0,0
436.48,0.0,0.0,0
660.68,184.35,167.54,1
216.5,150.87,0.0,0
114.24,0.0,0.0,0
103.48,0.0,0.0,0
286.35,0.0,0.0,1
555.27,67.72,0.0,1
129.57,74.5,0.0,0
82.47,0.0,0.0,0
905.51,288.43,153.83,1
261.59,257.43,118.48,0
204.91,200.81,190.5,1
417.04,0.0,0.0,1
579.46,0.0,0.0,1
678.66,72.98,0.0,1
1480.44,0.0,0.0,1
507.37,0.0,0.0,1
454.3,203.0,117.25,1
69.11,0.0,0.0,0
292.37,286.52,165.67,1
274.71,63.73,0.0,1
645.92,110.13,0.0,1
175.81,0.0,0.0,1
1124.03,144.72,0.0,1
233.99,0.0,0.0,0
105.21,0.0,0.0,0
251.11,0.0,0.0,1
73.09,0.0,0.0,0
336.05,203.04,0.0,0
222.39,0.0,0.0,0
161.82,111.6,0.0,0
126.69,0.0,0.0,0
